; Name	Sheet1
; Species and nomenclature	Mus musculus, MGI symbols
; Motif collection	10K (9713 PWMs)
; Minimum NEScore	3.0
; Rank threshold for visualization	5000
; ROC threshold for AUC calculation (%)	0.03
; Minimum identity between orthologous genes	0.0
; Maximum false discovery rate (FDR) on motif similarity	0.001
; Motif rankings database	500bp upstream (7 species)
; Number of valid nodes	405
; iRegulon version	iRegulon v1.3 (build: 2015-02-12)
# Rank	Motif id	AUC	NES	ClusterCode	Transcription factor	Target genes
11	homer-M01535	0.0342343	3.42699	M5		Sqle,Taf6,Pias1,Son,Cttnbp2nl,Ephb2,Pcdhb17,Tia1,Lrba,Mtf2,Ssh2,Phf13,Cdk19,Man2c1,Gabra2,Tmem62,Mrps33,Mcoln1,Cstf1,Atxn2l,Dedd2,Clvs1,Dcaf15,Fam76b,Rpl37,Mrpl52,Tmem216,Tmem120a,Adcy9,Bet1,Cercam,Ppp1r3c,Ankhd1,Nfil3,Rhou,0610011F06Rik,Ipo9,Srp19,Slc11a2,Sssca1,Akap8,Tmem181a,Taf1,Arnt,Dpy30,Tbce,Klf15,Cebpa,Cad,Egr4,Sgk1,Zfp668,Lsg1,Elmod2,Retsat,Zfc3h1,Sox8,Rps6,Acer2,Mtif2,Kcnt1,Gmppb,Hddc3,Grk5,Prkag2,Dph2,Frmd4b,Supv3l1,Rbm26,Usp40
12	yetfasco-1595	0.0339071	3.36707	M2		Cstf1,Ntrk3,Sgk1,Man2c1,Ssh2,Trib1,Zfp668,Hes1,Zmym3,Helq,2010012O05Rik,Mrps10
13	tfdimers-MD00523	0.0336365	3.31751	M4	Ikzf2,Tfap2c,Nr1h4	Nop14,Phf13,Retsat,Gtf2h4,Arid5a,Rps6kb2,Qtrtd1,Amt,Ap2s1,Akap8,Rbl2,Rbm26,Ddit4,Fgfr1,Ednrb,Nat10,Dph2
14	yetfasco-1696	0.0334265	3.27904	M6		Magee2,Ssh2,2010111I01Rik,Tmem181a,Sqrdl,Ncapd2,Sox5,0610011F06Rik,Amt,Tia1,Slc15a2,Hsd11b1,Mrps10
15	flyfactorsurvey-her_SANGER_10_FBgn0001185	0.0333982	3.27386	M2	Zfat,Zfp827	Retsat,Nhlrc3,Hsd11b1,Sgk1,Son,Coro6,Ppil1,B230118H07Rik,Gtf2b,Cercam,Kcnip4,Grk5,Tmem62,Prkg1,Tmem181a,Mrpl52,Cpeb2,2010111I01Rik,Prkag2,Sppl3,Eps8l1,Zfp428,Parp8,Fmo1,Slc27a2,Txnip,Zfp346,Rbl2,Pdk4,Hmgcs2,Ccdc84,Cdk19,Sh3bp1
16	yetfasco-1430	0.0332084	3.2391	M7		Tia1,0610011F06Rik,Ier5l,Pcdhb17,Rps6kb2,Nenf,Retsat,Cebpd,Sec11a,Parp8,Trp53,Cntn3,Nfil3
17	homer-M00462	0.0331559	3.22948	M7	Msx3,Nkx1-2,Nkx1-1	Sirt7,Pias1,Hmga1,Zfc3h1,Hmga1-rs1,Flna,Ccdc3,Prkg1,Plxna3,Hsd11b1,Mllt3,Ddit4,Gtf2b,Prpf8,Ephb2,Mettl7a1,Pomc,Vip,Crybb1,Sgk1,Parp8,Arnt,Gtf2h4,Dpysl2,Tmem62,2010111I01Rik
18	jaspar-CN0004.1	0.0330468	3.20951	M8		Tial1,Ap2s1,B230118H07Rik,Phf13,Qtrtd1,Cdk19,Nop14,Gtf2h4,Rbl2,Uckl1,Dgat1,Bet1,Gmppa,Fgfr1,Rps6kb2,Inpp5b,Dph2,Zfc3h1,0610011F06Rik,Arid5a,Cln3,Retsat,Tbc1d2b,Amt,Traf7
19	yetfasco-301	0.0325864	3.12518	M1		Polg,Ankrd28,Zfp668,Mtf2,Etv6,Lrp6,2810403A07Rik,Pdk4,Dgat1,Phf13,Stxbp5,Atxn2l,Tjap1,Prkag2,Enpp4,Sgk1,Nfil3,Prkg1,Sh3bp1,Trib1,Ppp1r3c,Sppl3,Dcbld1,Luc7l2,Leng8,Pias1,Rps6kb2,Zdhhc7,Siva1,Jun,Tia1,Hmga1-rs1,Rbm33,Hmga1,Top3b,Cpeb2,Sox5,Cebpa,Sirt7,0610011F06Rik,Nat10,Zdhhc21,Klf10,Srsf5,Ddit4,Tiparp,Dpy30,Sec11a,Ier5l,Fam57a,Gmppb,Parp8,Ssh2,Rbm26,Mcoln1,Lrba,Mettl17,Egr4,Grk5,Fam76b,Supv3l1,Uggt2,Zfpm2,Mfsd7b,Cpt1a,Ednrb,Helq,Pdlim4,Ltbp1,Elmod2,Ndst2,Cdh24,Dscaml1,Fam136a,Mrpl52,Slc27a2,Tial1,Acss1,Rhou,Irf2bp2,Retsat,Taf1,Bcam,Pomc,Ezr,Nhlrc3,Fam96b,Dpysl2
20	yetfasco-877	0.032542	3.11704	M4		Pomc,Hmga1,Med12,Jun,Plxna3,Tia1,Ltbp1,Ier5l,Slc11a2,Hmga1-rs1,Nhlrc3,Rps6kb2,Arhgef40,Etv6,Frmd4b,Ncapd2,Rbms1,Hes1,Ap2s1,Phf13,0610011F06Rik,Dph2,Sirt7,Son,Trib1,Tial1,Retsat,Ssh2,Mrpl52,Kcnip4,Zfp346,Lig3,Gtf2h4,Cpeb2,Cdh24,Srgap2,Gabra2,Taf1,Mtf2,Slc25a37,Cdk19,Sec11a,Prkg1,Cpne1,Slc40a1,Acaa2,Coro6,Slc9a5,Mtif2,Rbm26,Chchd7,Scyl3,Parp8,Ednrb,Ift27,Per1,Arnt,Map4k3,Stmn4,Ly6h,Zdhhc7,Egr4,Trmt6,Fgfr1,Ubp1,Taf6,Gtf2b,Cln3,Gmppa,Eps8l1,Txnip,Tmem120a,Tmem181a,Klhl20,Lsg1,Wdr92,Kctd18,Il10rb,Sssca1,Ddit4,Wdr90,Mrps10,Ezr,Ndp,Zfc3h1,Slc27a2,Nop14,Mcts1,Sec61g,Clic6,0610007P14Rik,Arid5a,Clvs1,Grk5,Qtrtd1,Gin1,Acer2,6330403K07Rik,Nr4a3,Fam136a,Kcnd1,Whamm,Srp19,Acss1,Zmym3,B230118H07Rik,Prpf8,Sqrdl,Sgk1,Klf15,Rsph9,Mrpl36,Tbc1d2b,Ppil1
21	transfac_pro-M03208	0.0325056	3.11038	M9		Tia1,0610011F06Rik,Hes1,Sirt7,Trib1,Lrp6,Nfil3,Hmga1,Tial1,Hmga1-rs1,Cdk19,Ssh2,Gabra2,Acaa2,Parp8,Sgk1,Zbtb2,Dpysl2,Phf13,Pdk4,Atxn2l,Cpeb2,Ankrd28,Rbms1,Fam57a,Irf2bp2,Polg,Rhebl1,Rbl2,0610007P14Rik,Cyp51,Srgap2,Cdh24,Egr4,Rps6kb2,Mtf2,Ier5l,Mafk,Dgat1,Cercam,Nhlrc3,Fosl2,Klf10,Prkag2,Dcaf15,Stxbp5,Map4k3,Sox8,Cebpa,Dynll1,Prkg1,Taf6,Ltbp1,Srrm1,Sh3bp1,Fam76b,Slc40a1,Gmppb,Ddit4,Sppl3,Usp40,Chchd7,Trp53,Enpp4,Adcy9,Rhou,Lrba,Eps8l1,Ntrk3,Grk5,Col5a1,Mcoln1,Mllt3,Mut,Uggt2,Retsat,Pias1,Top3b,Commd10,Arhgef40,Cdyl2,Ift27,Rpl37,Kcnip4,Nop14,Zdhhc7,Cd2ap,Tubgcp3,Ankhd1,Gtf2h4,Kcnt1,Gmeb2,Ncapd2,Per1,Ppp1r3c,Lig3,Mfsd7b,Syne2,Cad,Zfpm2,Txnip,Fam136a,Tiparp,Ube2l6,Slc25a37,Pomc,Zfp668,Cstf1
22	transfac_pro-M01633	0.0324168	3.09411	M1		Mtf2,Zfp668,Pdk4,Lrp6,Phf13,Polg,Top3b,2810403A07Rik,Tiparp,Cdh24,Pias1,Zdhhc7,Nfil3,Etv6,Prkag2,Enpp4,Jun,Sppl3,Sh3bp1,Atxn2l,Dgat1,Uckl1,Tjap1,Sox5,Ppp1r3c,Sirt7,Supv3l1,Rps6kb2,Ipo9,Cstf1,Mettl17,Sgk1,Lrba,Ankrd28,Ddit4,Fam76b,Dcbld1,Srsf5,Klf10,Luc7l2,Retsat,Stxbp5,Helq,Fam136a,Bcam,Egr4,Hmga1,Sec11a,Ndst2,Nhlrc3,Kcnip4,Dpy30,Hmga1-rs1,Ltbp1,Prkg1,Irf2bp2,Cad,Trib1,Mrps10,Gstm5,Tia1,Acss1,Samd10,Fam57a,Nat10,Rbm26,Spag5,Grk5,Elmod2,Etfb,Zdhhc21,Gmppb,Cpt1a,Mcoln1,Mfsd7b,Ier5l,Asap2,Leng8,Rbm33,2010111I01Rik,Cercam,Rhou,Ednrb,Map4k3,Fam96b,Pdlim4,Mafk,Ncapd2,Map4k2,Tial1,Cpeb2,Dcaf15,Rbms1,Son,Trmt6,Ssh2,Ly6h,Slc27a2,0610007P14Rik,0610011F06Rik,Wdr92,Taf1,Siva1,Cd2ap,Tmem181a,Fosl2,Fcho1,Cebpa,Gmppa,Cdk19,Uggt2,Zfp280c,Dscaml1,Per1,Commd10,Ezr,Col5a1,Parp8,Ccdc106,Tmtc4,F3,Zfc3h1,2010012O05Rik,Srp19,Lig3,Srgap2,Bbc3,Slc25a37,Flna
23	factorbook-ZNF143-ext	0.0323966	3.09041	M8	Zfp143	Tial1,Ap2s1,B230118H07Rik,Phf13,Qtrtd1,Gtf2h4,Cdk19,Nop14,Uckl1,Rbl2,Fgfr1,Gmppa,Bet1,Dgat1,Dph2,Inpp5b,Rps6kb2,0610011F06Rik,Zfc3h1,Retsat,Arid5a,Traf7,Amt,Tbc1d2b,Usp40,Ufd1l,Cln3,Zfp94
24	jaspar-PF0114.1	0.0323804	3.08745	M8		Nop14,Qtrtd1,Rbm26,Rbl2,Rps6kb2,Phf13,Retsat,Ap2s1,Mtf2,Tia1,0610011F06Rik,Bet1,Tial1,Amt,Gtf2h4,Gmppa,Cpne1,Kcnip4,Usp40,Tubgcp3,Ednrb,Pdss1,Akap8,Zfp668,Ncapd2,Decr2,Arid5a,Cdk19
25	yetfasco-305	0.0323481	3.08153	M9		Srrm1,Nop14,Egr4,Lrp6,Trib1,Slc40a1,Cyp51,Mcts1,Ier5l,Hmga1,Hmga1-rs1,Fubp3,Mtf2,Chchd7,Dpysl2,Cpeb2,Map4k3,Cercam,Lsg1,Tmem181a,Kctd18,Tsc22d3,Rbm33,Kcnt1,Per1,Zfp428,Fam76b,Cd2ap,Dscaml1,Mrps10,Polg,Atxn2l,Asap2,Mcoln1,Parp8,Spag5,Arhgef40,Fcho1,Gh,Fgfr1,Zfc3h1,Scyl3,Pdk4,Usp40,Trmu,Retsat,Rbl2,Zfp280c,Fbxl15,Cdk19,Sik1,Prkag2,Rbm26,2810403A07Rik,Mfsd7b,Zdhhc4,Traf7,Gtf2h4,Ufd1l,Zdhhc21,Sppl3,Ankhd1,Luc7l2,Rpl37,Dedd2,0610007P14Rik,Cdkn1a,Map4k2,Mettl17,Dgat1,Cln3,Tmem216,Man2c1,Ift27,Pdgfa,Ncapd2,Ggcx
26	yetfasco-53	0.0323481	3.08153	M9		Srrm1,Nop14,Egr4,Lrp6,Trib1,Slc40a1,Cyp51,Mcts1,Ier5l,Hmga1,Hmga1-rs1,Fubp3,Mtf2,Chchd7,Dpysl2,Cpeb2,Map4k3,Cercam,Lsg1,Tmem181a,Kctd18,Tsc22d3,Rbm33,Kcnt1,Per1,Zfp428,Fam76b,Cd2ap,Dscaml1,Mrps10,Polg,Atxn2l,Asap2,Mcoln1,Parp8,Spag5,Arhgef40,Fcho1,Gh,Fgfr1,Zfc3h1,Scyl3,Pdk4,Usp40,Trmu,Retsat,Rbl2,Zfp280c,Fbxl15,Cdk19,Sik1,Prkag2,Rbm26,2810403A07Rik,Mfsd7b,Zdhhc4,Traf7,Gtf2h4,Ufd1l,Zdhhc21,Sppl3,Ankhd1,Luc7l2,Rpl37,Dedd2,0610007P14Rik,Cdkn1a,Map4k2,Mettl17,Dgat1,Cln3,Tmem216,Man2c1,Ift27,Pdgfa,Ncapd2,Ggcx
27	transfac_pro-M03193	0.0322512	3.06378	M9		Tia1,Hes1,0610011F06Rik,Sirt7,Cdk19,Zbtb2,Acaa2,Hmga1-rs1,Ankrd28,Hmga1
28	jaspar-PF0074.1	0.0322067	3.05564	M10	Zfp143	B230118H07Rik,Phf13,Rbl2,Cdk19,Tial1,Qtrtd1,Gtf2h4,Rps6kb2,Amt,Ap2s1,Retsat,Uggt2,Tbc1d2b,Inpp5b,0610011F06Rik
29	homer-M00184	0.0321623	3.04751	M4	Zfp143	Ap2s1,Tial1,Nop14,Inpp5b,Bet1,Phf13,Dgat1,Cdk19,B230118H07Rik,Usp40,Gtf2h4,Rbl2,Qtrtd1,Rbm26,Mtf2,Rps6kb2,Tubgcp3,Arid5a,Retsat,Dph2,Amt,Gmppa,Akap8,Jun
30	yetfasco-2017	0.0321017	3.03641	M11		Ltbp1,Enpp4,Hsd11b1,Frmd4b,Per1,Hmgcs2,Dynll1,Ntrk3,Sqrdl,Apold1,Stmn4,Tia1,Mcts1,Mrps10,Tmem181a,Samhd1,Tmem216,Cyp51,Dscaml1,Gmeb2,Spag5,Ndst2,Kcnip4
31	encode-UW.Motif.0497	0.0319321	3.00534	M2		Tial1,B230118H07Rik,Cdk19,Ap2s1,Nop14,Qtrtd1,Fgfr1,Zfc3h1,Arid5a,Tbc1d2b,Bet1,Rbl2,Gmppa,Dgat1,Gtf2h4,Retsat,Inpp5b,Cln3,Ufd1l,Amt,Dph2
32	transfac_pro-M03190	0.0319321	3.00534	M9		Hes1,Tia1,0610011F06Rik,Zbtb2,Sirt7,Acaa2,Stxbp5,Dpysl2,Ankrd28,Sgk1,Gabra2,Cdk19,Polg,Hmga1,Fam57a,Trib1,Nfil3,Nhlrc3,Rhebl1,Lrp6,Cyp51,Rbms1,Hmga1-rs1
